customer_id,average_monthly_account_credit,average_monthly_account_debit,monthly_upi_transaction_count,total_utility_bills,utility_bill_on_time_payment_ratio,missed_utility_bill_count
1,42457.24,35023.32,109,6.0,0.9060461227700047,1.0
2,38967.07,36634.61,103,4.0,0.8999368144347105,1.0
3,44387.58,39788.97,102,3.0,0.876423086875429,1.0
4,19105.26,16616.45,97,6.0,0.9410900005152232,0.0
5,38819.45,30325.9,114,4.0,0.9214936240762943,0.0
6,38599.22,30153.67,106,6.0,0.9798551488486005,0.0
7,49509.95,37707.61,115,6.0,0.8548164370723087,1.0
8,44145.13,40756.34,104,6.0,0.9465801891332689,0.0
9,37495.56,32629.5,100,5.0,0.9644423317767341,0.0
10,26172.39,23335.68,104,5.0,0.9639229853782461,0.0
11,13258.66,9998.58,111,5.0,0.9829110950643287,0.0
12,38081.8,35948.54,120,6.0,0.9593550614244241,0.0
13,21272.63,19496.12,118,6.0,0.9891715092471545,0.0
14,28112.5,22278.25,109,4.0,0.8998984899731337,1.0
15,9236.55,7263.3,102,3.0,0.9254814125127314,0.0
16,12940.09,10179.72,108,6.0,0.8521119494924336,1.0
17,28824.29,23372.13,109,6.0,0.8510436380954937,1.0
18,42043.6,35945.23,109,6.0,0.886018993067728,1.0
19,9078.18,7592.89,104,6.0,0.8651210795708628,1.0
20,11865.56,9590.29,105,5.0,0.889031705190363,1.0
21,50570.34,44116.08,100,6.0,0.8765564941792596,1.0
22,39537.88,30756.47,102,4.0,0.8542780037257972,1.0
23,40764.08,32954.86,103,3.0,0.9863956219609074,0.0
24,31468.99,25907.55,115,5.0,0.8512334697083337,1.0
25,33484.42,28167.57,112,6.0,0.9604123216505628,0.0
26,40128.06,36397.56,94,6.0,0.8728221830379275,1.0
27,33244.82,26261.24,98,6.0,0.98683444329994,0.0
28,41941.66,35769.82,102,6.0,0.9839193909384829,0.0
29,36285.34,31513.2,109,6.0,0.9480851719553886,0.0
30,38052.93,28893.21,115,5.0,0.9508351224700907,0.0
31,12159.63,10597.23,116,4.0,0.8508008712954532,1.0
32,55511.34,43526.71,109,6.0,0.9977307349170403,0.0
33,17846.56,13617.11,97,4.0,0.9816748905363721,0.0
34,34139.64,32083.65,111,2.0,0.9842659338595138,0.0
35,44829.82,42280.19,109,4.0,0.9488866805576308,0.0
36,32432.87,29568.38,104,6.0,0.9017180392981805,1.0
37,18383.25,14907.4,118,6.0,0.9840472973635721,0.0
38,20363.66,15670.54,100,5.0,0.8937275392226789,1.0
39,9039.38,8016.54,101,6.0,0.9344067315013305,0.0
40,41002.96,34361.73,107,6.0,0.8649596458515824,1.0
41,44808.82,34700.29,110,5.0,0.9882933445199125,0.0
42,40186.79,34120.0,113,6.0,0.871115568665682,1.0
43,38994.95,29514.41,110,4.0,0.8837345208595611,1.0
44,15973.14,14884.8,113,5.0,0.9337201237192323,0.0
45,30799.12,24693.38,123,4.0,0.9646139500319473,0.0
46,35805.18,31598.23,107,6.0,0.9429026958904448,0.0
47,34769.19,28244.48,101,6.0,0.8848200869200235,1.0
48,46848.78,40009.5,115,3.0,0.8501414563791235,1.0
49,20433.68,17559.52,105,5.0,0.9635725870461158,0.0
50,8158.23,6420.29,103,6.0,0.997781098886664,0.0
51,42344.06,39969.27,110,6.0,0.9714869680459135,0.0
52,34941.59,31623.06,104,6.0,0.9190309927234923,0.0
53,35924.51,33693.59,118,5.0,0.985565089209866,0.0
54,43376.37,40295.15,111,6.0,0.9114771509677525,1.0
55,45156.48,39267.17,114,4.0,0.9287401126365201,0.0
56,16488.46,15406.4,106,4.0,0.9215694651093524,0.0
57,30401.46,23339.16,114,6.0,0.9171435808998287,0.0
58,19628.62,15490.84,87,6.0,0.9662786153940859,0.0
59,41687.48,31642.69,101,5.0,0.9290153360904237,0.0
60,47047.77,38347.04,116,6.0,0.8975075683037824,1.0
61,33905.51,28064.79,101,4.0,0.8887237251487717,1.0
62,35869.76,28848.97,109,5.0,0.855662097545115,1.0
63,33907.64,31050.84,109,6.0,0.9374792742824569,0.0
64,33093.92,27181.71,112,6.0,0.8844942123101551,1.0
65,18382.13,14819.44,116,4.0,0.8722200883024575,1.0
66,48036.76,41241.44,118,6.0,0.9480744945741516,0.0
67,14958.24,11640.28,115,6.0,0.9521813886732323,0.0
68,45425.32,41357.0,109,4.0,0.9628232338386499,0.0
